scenario,timestamp,phase,round,endpoint,label,method,url,ok,status,latencyMs,error
"mongodb-restart","2026-04-18T05:48:41.214Z","fault","20","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","2",""
"mongodb-restart","2026-04-18T05:48:42.713Z","fault","20","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1501","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:42.714Z","fault","20","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1502","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:42.714Z","fault","20","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1502","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:42.714Z","fault","20","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1502","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:43.214Z","fault","21","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:43.215Z","fault","21","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","2",""
"mongodb-restart","2026-04-18T05:48:43.214Z","fault","21","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","1",""
"mongodb-restart","2026-04-18T05:48:44.713Z","fault","21","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:44.713Z","fault","21","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:44.713Z","fault","21","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:44.713Z","fault","21","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:45.214Z","fault","22","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"mongodb-restart","2026-04-18T05:48:45.215Z","fault","22","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","2",""
"mongodb-restart","2026-04-18T05:48:45.215Z","fault","22","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","false","503","2",""
"mongodb-restart","2026-04-18T05:48:46.713Z","fault","22","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:46.713Z","fault","22","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","false","0","1500","This operation was aborted"
"mongodb-restart","2026-04-18T05:48:46.714Z","fault","22","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","false","0","1501","This operation was aborted"
