scenario,timestamp,phase,round,endpoint,label,method,url,ok,status,latencyMs,error
"cpu-throttle","2026-04-18T05:50:01.714Z","fault","17","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","315",""
"cpu-throttle","2026-04-18T05:50:03.399Z","fault","18","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:50:03.411Z","fault","18","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","13",""
"cpu-throttle","2026-04-18T05:50:03.411Z","fault","18","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","13",""
"cpu-throttle","2026-04-18T05:50:03.415Z","fault","18","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","16",""
"cpu-throttle","2026-04-18T05:50:03.413Z","fault","18","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","14",""
"cpu-throttle","2026-04-18T05:50:03.805Z","fault","18","auth-login","POST /api/auth/login","POST","http://127.0.0.1:5000/api/auth/login","true","200","406",""
"cpu-throttle","2026-04-18T05:50:03.713Z","fault","18","order-track","POST /api/orders/track","POST","http://127.0.0.1:5000/api/orders/track","true","200","314",""
"cpu-throttle","2026-04-18T05:50:05.399Z","fault","19","frontend-home","Frontend /","GET","http://127.0.0.1:3000/","true","200","1",""
"cpu-throttle","2026-04-18T05:50:05.413Z","fault","19","backend-health","Backend /health","GET","http://127.0.0.1:5000/health","true","200","15",""
"cpu-throttle","2026-04-18T05:50:05.413Z","fault","19","backend-db","Backend /health/db","GET","http://127.0.0.1:5000/health/db","true","200","15",""
"cpu-throttle","2026-04-18T05:50:05.602Z","fault","19","products","GET /api/products","GET","http://127.0.0.1:5000/api/products","true","200","204",""
"cpu-throttle","2026-04-18T05:50:05.601Z","fault","19","search","GET /api/search?q=laptop","GET","http://127.0.0.1:5000/api/search?q=laptop","true","200","203",""
